,,
I,V,11900
V,vi,11421
vi,IV,9176
IV,I,12670
IV,V,11579
V,I,9028
vi,V,8088
V,IV,9794
vi,I,4178
I,IV,8110
IV,vi,4787
V,ii,2239
ii,IV,1566
ii,vi,1669
ii,I,738
I,vi,4719
I,ii,1514
vi,iii,1498
iii,I,100
ii,V,1022
vi,ii,1099
I,iii,173
iii,IV,1400
iii,V,315
iii,vi,1044
IV,iii,418
IV,ii,597
ii,iii,465
V,iii,474
iii,ii,158
